housing_id,sq_ft,availability,time_to_campus
52,2595,TRUE,6
53,,TRUE,5
54,500,TRUE,7
55,775,TRUE,9
56,1200,TRUE,16
57,667,TRUE,27
58,636,TRUE,3
59,,TRUE,14
60,2475,TRUE,6
61,,TRUE,7
62,,TRUE,29
63,1000,TRUE,14
64,,TRUE,10
65,135,TRUE,19
66,1760,TRUE,8
67,,TRUE,5
68,1300,TRUE,2
69,,TRUE,3
70,2255,TRUE,4
71,,TRUE,5
